label	max_pay	sum_pay	sum_time	between_time	pv_qty_all	pv_qty_search_all	clct_qty_all	cart2_qty_all
0	2099	0	0	112	1	1	0	0
0	0	0	0	0	3	0	0	0
0	88.27	0	0	84	43	6	0	2
0	378	0.02	1	13	2	0	0	0
0	8869.39	0	0	52	3	1	0	1
0	0	0	0	0	0	0	0	15
0	2799	0	0	38	6	0	0	0
0	394.02	204.95	1	4	9	0	0	1
0	4218	0	0	44	2	1	1	0
0	2519	41.9	1	4	0	0	0	0
0	12164.11	112.42	1	28	12	3	0	0
0	99	0	0	165	0	0	0	2
1	0	0	0	0	0	0	0	1
0	1099	1162.61	2	6	3	1	0	0
0	0	0	0	0	3	2	0	0
0	988	115	1	13	3	0	0	0
0	122.9	0	0	121	0	0	0	0
0	1799	0	0	32	19	5	1	0
0	399	516.43	2	1	2	0	0	0
0	1998	0	0	104	28	7	0	0
0	517.46	0	0	63	0	0	0	0
1	2676.73	89	1	24	10	2	0	3
0	6167.91	0	0	43	1	0	0	0
0	2588	125.3	2	12	6	0	0	0
0	2478.72	2478.72	1	23	2	1	0	0
1	5588	24.31	1	25	2	0	0	0
0	1406.09	0	0	36	1	0	0	0
0	3798	3798	1	11	3	0	0	0
0	23828	6995.55	1	25	0	0	0	0
0	1897	1993.9	2	1	0	0	0	0
0	2599	699	1	7	2	0	0	0
0	0	0	0	0	0	0	0	0
0	35190.6	6868.2	6	1	5	4	0	0
0	4370	4370	1	26	5	0	0	0
0	799	0	0	111	13	2	0	0
0	2980	0	0	168	2	2	0	0
1	5995	0	0	159	34	3	1	1
0	198	0	0	71	4	1	0	0
0	2799	1304.44	4	5	1	0	0	0
1	2892	1205	2	1	17	0	0	1
0	3190	5238	2	18	7	0	0	0
0	3699.05	9306.55	5	1	0	0	0	0
1	5648	0	0	72	7	1	0	0
0	11669	0	0	34	2	0	0	1
1	488	0	0	56	8	0	0	2
1	14496	61.16	1	18	8	1	4	4
0	20232	0	0	42	3	1	0	0
0	0	0	0	0	0	0	0	0
1	832.11	641	2	17	0	0	0	0
0	36890.03	43935.21	5	1	34	2	0	0
0	2299	2299	1	24	2	0	0	0
0	999	205.09	3	4	1	1	0	0
0	0	0	0	0	0	0	0	3
0	5488	164.05	1	23	2	0	0	0
0	6182	0	0	41	39	3	0	0
0	58	0	0	137	1	0	0	0
0	807.96	372.62	2	9	1	0	0	0
0	11130	0	0	121	1	0	0	0
0	1098	0	0	285	15	0	0	0
0	0	0	0	0	0	0	0	1
0	6984.47	107.33	1	28	14	2	1	2
0	0	0	0	0	2	1	0	0
0	3392.02	3421.82	3	1	23	4	0	2
0	5899	0	0	32	19	5	2	0
0	2888	0	0	52	18	1	0	0
0	1799	1799	1	30	6	1	0	2
0	116	0	0	131	10	0	0	1
0	0	0	0	0	0	0	0	0
0	330.4	476.3	3	2	11	1	0	8
0	6088	2362	1	28	1	0	0	0
0	2529.26	2529.26	1	1	4	0	0	0
1	5906.1	5983.4	2	8	1	0	0	0
0	249	0	0	31	2	0	0	0
0	898.69	0	0	102	5	0	0	0
1	3799	76.9	1	1	24	11	1	2
0	108	108	1	8	2	0	0	0
0	29.9	29.9	1	6	22	0	0	1
0	11265.4	0	0	88	11	1	7	3
0	5983.47	0	0	42	1	1	0	0
0	5755	0	0	129	9	0	0	2
0	78.3	0	0	56	1	1	0	0
0	6496	6587.56	2	1	3	2	0	0
0	5196	5	1	1	2	0	0	0
0	466.2	212.46	3	15	2	0	0	0
0	0	0	0	0	1	0	0	0
0	6399	6399	1	25	47	2	1	6
0	0	0	0	0	0	0	0	0
0	3444	0	0	41	5	1	0	0
0	3588	3499	1	4	4	3	0	0
0	3297	89	2	9	2	0	0	0
0	1689	1689	1	1	0	0	0	1
0	2868	0	0	147	12	0	0	0
0	7380	0	0	155	51	9	0	0
0	268	387.7	2	2	5	1	0	0
0	612.68	304.81	1	20	22	3	0	0
0	66.68	0	0	127	1	1	0	0
0	2999	100	1	2	5	0	0	0
1	8320	0	0	151	0	0	0	0
0	2750	989.9	2	2	14	1	0	0
0	148	0	0	118	12	2	0	3
0	339	205.87	1	5	40	1	0	0
0	1799	0	0	31	69	13	2	3
0	4195.21	0	0	146	1	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	0	0	0
0	0	0	0	0	0	1	0	0
0	2894.56	206.98	1	1	2	0	0	0
0	649	649	1	13	0	0	0	0
1	1699	0	0	370	20	4	0	0
0	400	0	0	194	0	0	0	0
1	1499	0	0	45	5	2	1	0
1	8248	731.84	2	1	8	2	0	1
1	9960	10105	2	1	1	0	0	0
0	1529	0	0	157	1	0	0	0
0	1799	521.49	1	1	7	1	0	0
0	1799	1	1	12	0	0	0	0
