label	diff_rgst	age	gender	bh_gender	purchase_power
0	2876	26	NULL	NULL	NULL
0	2870	33	NULL	NULL	NULL
0	2854	61	NULL	NULL	NULL
0	2850	32	M	M	2
0	2848	53	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2837	33	NULL	NULL	NULL
0	2842	45	NULL	NULL	NULL
0	2832	40	NULL	NULL	NULL
0	2815	40	NULL	NULL	NULL
0	NULL	NULL	M	A	3
0	3314	31	NULL	NULL	NULL
1	2808	54	NULL	NULL	NULL
0	2807	29	NULL	NULL	NULL
0	2803	69	F	F	3
0	2803	33	NULL	NULL	NULL
0	2797	27	NULL	NULL	NULL
0	2774	33	NULL	NULL	NULL
0	2765	34	NULL	NULL	NULL
0	2754	56	NULL	NULL	NULL
0	2752	76	NULL	NULL	NULL
0	2751	29	NULL	NULL	NULL
0	2712	38	NULL	NULL	NULL
0	2688	67	NULL	NULL	NULL
0	2706	37	M	N	2
0	2628	29	NULL	NULL	NULL
1	2557	35	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2665	65	M	N	3
0	2696	53	NULL	NULL	NULL
0	2690	39	F	N	1
0	2674	65	NULL	NULL	NULL
0	2662	29	NULL	NULL	NULL
1	2695	54	NULL	NULL	NULL
0	2621	27	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
1	2699	31	NULL	NULL	NULL
0	2716	26	M	M	2
0	2470	31	NULL	NULL	NULL
0	2187	34	NULL	NULL	NULL
0	2690	42	NULL	NULL	NULL
1	2624	61	NULL	NULL	NULL
0	2688	35	NULL	NULL	NULL
0	2577	44	NULL	NULL	NULL
0	2687	30	NULL	NULL	NULL
1	2665	42	NULL	NULL	NULL
0	2612	33	NULL	NULL	NULL
0	2546	33	NULL	NULL	NULL
0	2583	48	NULL	NULL	NULL
0	2597	28	NULL	NULL	NULL
0	2641	62	NULL	NULL	NULL
0	2664	33	NULL	NULL	NULL
0	2544	33	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2573	33	NULL	NULL	NULL
0	2601	41	NULL	NULL	NULL
0	2575	30	NULL	NULL	NULL
0	2606	30	NULL	NULL	NULL
1	2481	28	NULL	NULL	NULL
0	2617	30	NULL	NULL	NULL
1	2623	33	M	N	2
1	2473	51	NULL	NULL	NULL
0	2593	49	NULL	NULL	NULL
0	2571	33	NULL	NULL	NULL
0	2578	30	NULL	NULL	NULL
0	2568	55	NULL	NULL	NULL
0	2544	32	M	M	2
0	2550	44	M	N	3
0	2533	45	NULL	NULL	NULL
1	2551	NULL	N	N	3
0	NULL	NULL	NULL	NULL	NULL
0	2499	47	F	N	2
0	NULL	NULL	NULL	NULL	NULL
0	2568	30	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	2550	35	F	F	3
0	2546	45	NULL	NULL	NULL
0	2547	36	NULL	NULL	NULL
0	2450	32	NULL	NULL	NULL
0	2524	26	NULL	NULL	NULL
0	2496	28	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	2480	35	NULL	NULL	NULL
0	2493	49	NULL	NULL	NULL
0	2440	51	M	N	2
0	2431	62	NULL	NULL	NULL
1	2497	NULL	NULL	NULL	NULL
0	2487	38	NULL	NULL	NULL
0	2438	33	NULL	NULL	NULL
1	2456	43	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	2382	57	NULL	NULL	NULL
1	2396	34	NULL	NULL	NULL
0	2418	30	F	F	1
0	2483	42	M	M	1
0	2300	30	NULL	NULL	NULL
0	2399	33	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2411	18	NULL	NULL	NULL
0	2421	84	NULL	NULL	NULL
0	2418	35	NULL	NULL	NULL
0	2454	43	NULL	NULL	NULL
1	2436	43	NULL	NULL	NULL
0	2457	NULL	NULL	NULL	NULL
1	2382	32	NULL	NULL	NULL
0	2449	34	NULL	NULL	NULL
0	2447	37	NULL	NULL	NULL
1	2448	27	M	A	3
0	2391	34	NULL	NULL	NULL
0	2320	37	NULL	NULL	NULL
0	2315	30	NULL	NULL	NULL
0	2349	51	NULL	NULL	NULL
0	2355	27	NULL	NULL	NULL
0	2397	44	NULL	NULL	NULL
1	2396	35	NULL	NULL	NULL
0	2170	35	NULL	NULL	NULL
0	2388	39	M	N	NULL
0	NULL	NULL	M	N	2
0	2388	26	NULL	NULL	NULL
0	2394	31	M	M	2
0	2352	26	NULL	NULL	NULL
0	2309	29	NULL	NULL	NULL
0	2302	25	NULL	NULL	NULL
0	2347	40	NULL	NULL	NULL
0	2303	33	NULL	NULL	NULL
1	2336	27	M	N	2
0	2325	46	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2387	29	F	F	2
0	NULL	NULL	NULL	NULL	NULL
0	2184	30	NULL	NULL	NULL
1	2184	38	M	N	2
0	2195	28	NULL	NULL	NULL
0	2178	29	M	N	NULL
0	2303	26	NULL	NULL	NULL
0	2250	32	NULL	NULL	NULL
1	2243	36	NULL	NULL	NULL
1	2269	31	NULL	NULL	NULL
0	2252	26	NULL	NULL	NULL
0	2075	38	NULL	NULL	NULL
0	2066	30	NULL	NULL	NULL
1	2204	25	NULL	NULL	NULL
0	2235	54	M	N	2
0	2235	42	M	M	2
0	2046	30	NULL	NULL	NULL
0	2170	31	NULL	NULL	NULL
1	2180	57	NULL	NULL	NULL
0	2167	26	NULL	NULL	NULL
0	2079	28	F	F	2
0	2113	32	NULL	NULL	NULL
0	2124	61	NULL	NULL	NULL
0	2178	28	NULL	NULL	NULL
0	2143	47	NULL	NULL	NULL
0	2183	65	NULL	NULL	NULL
